id,name,area_id,subarea_code
1,道南,1,HOK_DOUNAN
2,道央,1,HOK_DOOU
3,道北,1,HOK_DOUHOKU
4,道東,1,HOK_DOTO
5,東青,2,AOM_TOSEI
6,中南,2,AOM_CHUNAN
7,三八,2,AOM_SANPACHI
8,西北,2,AOM_SEIHOKU
9,上北,2,AOM_KAMIKITA
10,下北,2,AOM_SHIMOKITA
11,盛岡,3,IWA_MORIOKA
12,岩手中部,3,IWA_IWATE_CHUBU
13,胆江,3,IWA_TANKOU
14,両磐,3,IWA_RYOUBAN
15,気仙,3,IWA_KESEN
16,釜石,3,IWA_KAMAISHI
17,宮古,3,IWA_MIYAKO
18,久慈,3,IWA_KUJI
19,二戸,3,IWA_NINOHE
20,仙南,4,MYG_SENNAN
21,仙台,4,MYG_SENDAI
22,大崎,4,MYG_OSAKI
23,栗原,4,MYG_KURIHARA
24,登米,4,MYG_TOME
25,石巻,4,MYG_ISHINOMAKI
26,気仙沼,4,MYG_KESENNUMA
27,鹿角,5,AKI_KADUNO
28,北秋田,5,AKI_KITAAKITA
29,山本,5,AKI_YAMAMOTO
30,秋田,5,AKI_AKITA
31,由利,5,AKI_YURI
32,仙北,5,AKI_SENBOKU
33,平鹿,5,AKI_HIRAKA
34,雄勝,5,AKI_OGACHI
35,村山,6,YMT_MURAYAMA
36,最上,6,YMT_MOGAMI
37,置賜,6,YMT_OKITAMA
  38,庄内,6,YMT_SHOUNAI
39,県北,7,FKS_KENHOKU
40,県中,7,FKS_KENCHUU
41,県南,7,FKS_KENNAN
42,会津,7,FKS_AIZU
43,南会津,7,FKS_MINAMIAIZU
44,相双,7,FKS_SOUSOU
45,いわき,7,FKS_IWAKI
46,県北,8,IBR_KENHOKU
47,県央,8,IBR_KENOU
48,鹿行,8,IBR_ROKKO
49,県南,8,IBR_KENNAN
50,県西,8,IBR_KENSEI
51,県央,9,TCG_KENOU
52,県南,9,TCG_KENNAN
53,県北,9,TCG_KENHOKU
54,両毛,9,TCG_RYOUMOU
55,前橋,10,GNM_MAEBASHI
56,高崎,10,GNM_TAKASAKI
57,桐生,10,GNM_KIRYU
58,伊勢崎,10,GNM_ISESAKI
59,太田・館林,10,GNM_OTA_TATEBAYASHI
60,吾妻,10,GNM_AGATSUMA
61,利根沼田,10,GNM_TONENUMATA
62,渋川,10,GNM_SHIBUKAWA
63,南部,11,STM_NANBU
64,南西部,11,STM_NANSEIBU
65,東部,11,STM_TOUBU
66,北部,11,STM_HOKUBU
67,秩父,11,STM_CHICHIBU
68,千葉,12,CHB_CHIBA
69,東葛飾,12,CHB_HIGASHIKATSUSHIKA
70,印旛,12,CHB_INBA
71,香取,12,CHB_KATORI
72,海匝,12,CHB_KAISOU
73,山武,12,CHB_SANBU
74,長生,12,CHB_TYOUSEI
75,夷隅,12,CHB_ISUMI
76,安房,12,CHB_AWA
77,23区,13,TOK_23KU
78,多摩,13,TOK_TAMA
79,島しょ,13,TOK_TOUSHO
80,横浜,14,KNG_YOKOHAMA
81,川崎,14,KNG_KAWASAKI
82,相模原,14,KNG_SAGAMIHARA
83,横須賀三浦,14,KNG_YOKOSUKA_MIURA
84,湘南,14,KNG_SHOUNAN
85,県央,14,KNG_KENOU
86,県西,14,KNG_KENSEI
87,下越,15,NGT_KAETU
88,中越,15,NGT_CHUETSU
89,上越,15,NGT_JOUETU
90,佐渡,15,NGT_SADO
91,新川,16,TOY_NIIKAWA
92,富山,16,TOY_TAKAYAMA
93,高岡,16,TOY_TAKAOKA
94,砺波,16,TOY_TONAMI
95,南加賀,17,ISK_MINAMIKAGA
96,石川中央,17,ISK_ISHIKAWA_CHUOU
97,能登中部,17,ISK_NOTO_CHUBU
98,能登北部,17,ISK_NOTO_HOKUBU
99,嶺北,18,FKI_REIHOKU
100,嶺南,18,FKI_REINAN
101,中北,19,YMN_CHUHOKU
102,峡東,19,YMN_KYOUTO
103,峡南,19,YMN_KYOUNAN
104,富士・東部,19,YMN_FUJI_TOUBU
105,佐久,20,NGN_SAKU
106,上小,20,NGN_JOUSHO
107,諏訪,20,NGN_SUWA
108,上伊那,20,NGN_KAMIINA
109,飯伊,20,NGN_II
110,木曽,20,NGN_KISO
111,松本,20,NGN_MATSUMOTO
112,大北,20,NGN_OHOKITA
113,長野,20,NGN_NAGANO
114,北信,20,NGN_HOKUSHIN
115,岐阜,21,GIF_GIHU
116,西濃,21,GIF_SEINOU
117,中濃,21,GIF_CHUNOU
118,東濃,21,GIF_TONO
119,飛騨,21,GIF_HIDA
120,賀茂,22,SZO_KAMO
121,熱海伊東,22,SZO_ATAMIITO
122,駿東田方,22,SZO_SUNTOUTAGATA
123,富士,22,SZO_FUJI
124,静岡,22,SZO_SHIZUOKA
125,志太榛原,22,SZO_SHIDAHAIBARA
126,中東遠,22,SZO_CHUTOEN
127,西部,22,SZO_SEIBU
128,名古屋,23,AIC_NAGOYA
129,尾張,23,AIC_OWARI
130,西三河,23,AIC_NISHIMIKAWA
131,東三河,23,AIC_HIGASHIMIKAWA
132,北勢,24,MIE_HOKUSEI
133,中勢,24,MIE_CHUSEI
134,南勢志摩,24,MIE_NANSEISHIMA
135,伊賀,24,MIE_IGA
136,大津,25,SHG_OTSU
137,南部,25,SHG_NANBU
138,甲賀,25,SHG_KOUKA
139,東近江,25,SHG_HIGASHIOUMI
140,湖東,25,SHG_KOTOU
141,湖北,25,SHG_KOHOKU
142,湖西,25,SHG_KOSEI
143,丹後,26,KYO_TANGO
144,中丹,26,KYO_CHUTAN
145,南丹,26,KYO_NANTAN
146,京都・乙訓,26,KYO_KYOTO_OTOKUNI
147,山城,26,KYO_YAMASHIRO
148,大阪市,27,OSA_OSAKASHI
149,豊能,27,OSA_TOYONO
150,三島,27,OSA_MISHIMA
151,北河内,27,OSA_KITAKAWAUCHI
152,中河内,27,OSA_NAKAKAWACHI
153,南河内,27,OSA_MINAMIKAWACHI
154,泉北,27,OSA_SENBOKU
155,泉南,27,OSA_SENNAN
156,神戸,28,HYG_KOUBE
157,阪神南,28,HYG_HANSHINMINAMI
158,阪神北,28,HYG_HANSHINKITA
159,東播磨,28,HYG_HIGASHIHARIMA
160,北播磨,28,HYG_KITAHARIMA
161,中播磨,28,HYG_NAKAHARIMA
162,西播磨,28,HYG_NISHIHARIMA
163,但馬,28,HYG_TAJIMA
164,丹波,28,HYG_TANBA
165,淡路,28,HYG_AWAKO
166,奈良,29,NAR_MARA
167,東和,29,NAR_TOUWA
168,西和,29,NAR_SEIWA
169,中和,29,NAR_CHUWA
170,南和,29,NAR_NANWA
171,海草,30,WKY_KAISOU
172,那賀,30,WKY_NAKA
173,伊都,30,WKY_ITO
174,有田,30,WKY_ARIDA
175,日高,30,WKY_HIDAKA
176,西牟婁,30,WKY_NISHIMURO
177,東牟婁,30,WKY_HIGASHIMURO
178,東部,31,TTR_TOUBU
179,中部,31,TTR_CHUBU
180,西部,31,TTR_SEIBU
181,松江,32,SMN_MATSUE
182,雲南,32,SMN_UNNAN
183,出雲,32,SMN_IZUMO
184,大田,32,SMN_OHDA
185,浜田,32,SMN_HAMADA
186,益田,32,SMN_MASUDA
187,隠岐,32,SMN_OKI
188,備前,33,OKY_BIZEN
189,備中,33,OKY_BITCHU
190,美作,33,OKY_MIMASAKA
191,広島,34,HRS_HIROSHIMA
192,広島西,34,HRS_HIROSHIMA_NISHI
193,呉,34,HRS_KURE
194,芸北,34,HRS_GEIHOKU
195,備北,34,HRS_BIHOKU
196,備後,34,HRS_BINGO
197,岩国,35,YGC_IWAKUNI
198,柳井,35,YGC_YANAI
199,周南,35,YGC_SHUNAN
200,山口・防府,35,YGC_YAMAGUCHI_HOUFU
201,宇部・小野田,35,YGC_UBE_ONODA
202,下関,35,YGC_SHIMONOSEKI
203,長門,35,YGC_NAGATO
204,萩,35,YGC_HAGI
205,東部,36,TKS_TOUBU
206,南部,36,TKS_NANBU
207,西部,36,TKS_SEIBU
208,小豆,37,KAG_SHOZU
209,東讃,37,KAG_OTUSAN
210,中讃,37,KAG_CHUSAN
211,西讃,37,KAG_SEISAN
212,東予,38,EHM_TOUYO
213,中予,38,EHM_CHUYO
214,南予,38,EHM_NANYO
215,安芸,39,KOC_AKI
216,中央,39,KOC_CHUOU
217,高幡,39,KOC_KOUHATA
218,幡多,39,KOC_HATA
219,福岡,40,FUK_FUKUOKA
220,筑紫,40,FUK_CHIKUSHI
221,糸島,40,FUK_ITOSHIMA
222,糟屋,40,FUK_KASUYA
223,宗像・遠賀,40,FUK_MUNAKA_ONGA
224,北九州,40,FUK_KITAKYUSHU
225,京築,40,FUK_KEICHIKU
226,飯塚,40,FUK_IIDUKA
227,直方・鞍手,40,FUK_NOGATA_KURATE
228,田川,40,FUK_TAGAWA
229,朝倉,40,FUK_ASAKURA
230,八女・筑後,40,FUK_YAME_CHIKUGO
231,久留米,40,FUK_KURUME
232,有明,40,FUK_ARIAKE
233,東部,41,SGA_TOUBU
234,北部,41,SGA_HOKUBU
235,西部,41,SGA_SEIBU
236,南部,41,SGA_NANBU
237,長崎,42,NGS_NAGASAKI
238,県央,42,NGS_KENOU
239,県南,42,NGS_KENNAN
240,県北,42,NGS_KENHOKU
241,五島,42,NGS_GOTO
242,壱岐,42,NGS_IKI
243,対馬,42,NGS_TSUSHIMA
244,熊本,43,KMM_KUMAMOTO
245,宇城,43,KMM_UKI
246,有明,43,KMM_ARIAKE
247,菊池,43,KMM_KIKUCHI
248,阿蘇,43,KMM_ASO
249,上益城,43,KMM_KAMIMASHIKI
250,八代,43,KMM_YATSUSHIRO
251,芦北,43,KMM_ASHIKITA
252,球磨,43,KMM_KUMA
253,天草,43,KMM_AMAKUSA
254,東部,44,OIT_TOUBU
255,中部,44,OIT_CHUBU
256,南部,44,OIT_NANBU
  257,豊肥,44,OIT_HOUHI
258,西部,44,OIT_SEIBU
259,北部,44,OIT_HOKUBU
260,宮崎東諸県,45,MYZ_MIYAZAKI_HIGASHIMOROKATA
261,西都児湯,45,MYZ_SAITOKOYU
262,西諸,45,MYZ_NISHIMORO
263,北諸県,45,MYZ_KITAMOROKATA
264,日南串間,45,MYZ_NICHINANKUSHIMA
265,都城北諸県,45,MYZ_MIYAKONOJOUKITAMOROKATA
266,西臼杵,45,MYZ_NISHIUSUKI
267,鹿児島,46,KGS_KAGOSHIMA
268,南薩,46,KGS_NANSATSU
269,北薩,46,KGS_HOKUSATSU
270,姶良・伊佐,46,KGS_AIRA_ISA
271,大隅,46,KGS_OOSUMI
272,熊毛,46,KGS_KUMAGE
273,奄美,46,KGS_AMAMI
274,北部,47,OKN_HOKUBU
275,中部,47,OKN_CHUBU
276,南部,47,OKN_NANBU
277,宮古,47,OKN_MIYAKO
278,八重山,47,OKN_YAEYAMA
